Object,PosX,PosY,PosZ,Gmeans_5__03_29_0,Ch_1_Mean,Ch_2_Mean,Ch_3_Mean,Ch_4_Mean,Ch_1_Min,Ch_2_Min,Ch_3_Min,Ch_4_Min,Ch_1_SD,Ch_2_SD,Ch_3_SD,Ch_4_SD,Ch_1_Max,Ch_2_Max,Ch_3_Max,Ch_4_Max,Ch_1_Sum,Ch_2_Sum,Ch_3_Sum,Ch_4_Sum,Ch_1_Count,Ch_2_Count,Ch_3_Count,Ch_4_Count,Ch_1_MeanThresh,Ch_2_MeanThresh,Ch_3_MeanThresh,Ch_4_MeanThresh
593.0,64.5,277.5,9.5,1,893.3870967741935,208.18064516129033,192.32903225806453,236.32903225806453,545.0,121.0,100.0,101.0,202.3329642046847,27.692530515182458,76.92449575888486,77.88628988246131,1385.0,257.0,520.0,422.0,138475.0,32268.0,29811.0,36631.0,155,155,155,155,1238.421052631579,236.77777777777777,452.3333333333333,375.45
594.0,70.0,196.5,9.5,1,922.4232558139535,211.70697674418605,333.86511627906975,320.2279069767442,532.0,143.0,109.0,131.0,260.66373299642305,30.688557605726864,337.57730224704534,121.83817658532226,1934.0,310.0,3350.0,601.0,198321.0,45517.0,71781.0,68849.0,215,215,215,215,1771.3333333333333,280.75,3350.0,529.6428571428571
595.0,156.0,266.5,27.0,0,800.7424242424242,107.77272727272727,144.74242424242425,58.5,534.0,67.0,86.0,41.0,190.93021766773333,21.81798513897366,61.83185900390501,8.973893760835885,1200.0,168.0,410.0,86.0,52849.0,7113.0,9553.0,3861.0,66,66,66,66,1102.1818181818182,156.8,374.0,78.5
596.0,74.5,225.5,15.5,3,967.7835365853658,188.8170731707317,2797.192073170732,75.09451219512195,530.0,103.0,684.0,44.0,451.512211528459,56.88345896070383,1021.5155001875978,11.010430156827796,3021.0,387.0,4095.0,128.0,317433.0,61932.0,917479.0,24631.0,328,328,328,328,2621.8333333333335,347.38461538461536,3906.78125,117.0
597.0,175.5,257.5,27.0,0,655.3424657534247,190.32876712328766,230.05479452054794,88.68493150684931,531.0,140.0,163.0,65.0,80.41182527362265,22.634815117498718,41.02874683646919,11.919727709801053,885.0,252.0,392.0,119.0,47840.0,13894.0,16794.0,6474.0,73,73,73,73,851.5,236.0,366.0,114.0
598.0,209.0,245.0,30.0,0,709.88,156.136,344.384,93.68,530.0,104.0,117.0,62.0,146.311014292246,24.37487601291874,148.4591713178647,16.14380935978746,1141.0,207.0,738.0,137.0,88735.0,19517.0,43048.0,11710.0,125,125,125,125,1094.25,191.5909090909091,665.0,125.0
599.0,101.5,255.0,15.5,4,1097.6242171189979,192.94154488517745,306.71189979123176,115.98538622129436,531.0,96.0,120.0,74.0,481.4648897705422,31.222188067684485,116.29698170775129,17.84996148183021,3005.0,384.0,1154.0,174.0,525762.0,92419.0,146915.0,55557.0,479,479,479,479,2691.7272727272725,354.5,1034.0,156.95454545454547
600.0,112.5,214.0,12.0,2,1462.0557768924302,183.15139442231074,376.59760956175296,111.4980079681275,532.0,99.0,133.0,59.0,711.1872867792941,36.16187202078742,171.36387435589495,49.77600823706073,3175.0,315.0,1400.0,491.0,366976.0,45971.0,94526.0,27986.0,251,251,251,251,2812.625,285.6,1253.5,459.5
601.0,118.0,99.5,9.5,1,915.3601895734597,211.7772511848341,609.1137440758293,217.14218009478674,531.0,136.0,222.0,110.0,292.0837178226592,36.66687429415374,429.2894088193728,69.20073405188559,1970.0,301.0,1998.0,512.0,193141.0,44685.0,128523.0,45817.0,211,211,211,211,1775.4285714285713,276.76190476190476,1805.2,469.5
602.0,119.5,231.0,10.5,1,1477.4122137404581,135.90076335877862,600.5038167938932,69.05343511450381,530.0,85.0,203.0,45.0,845.676141596215,22.056171284257232,213.54010158590822,9.563804342092869,4095.0,190.0,1533.0,104.0,193541.0,17803.0,78666.0,9046.0,131,131,131,131,3566.8571428571427,173.61111111111111,1387.5,97.5
